date,male,female,a0_4,a5_14,a15_34,a35_59,a60_79,a80
2020-10-16,10,12,2,1,5,10,4,0
2020-10-17,25,18,0,1,15,18,4,5
2020-10-18,6,6,0,1,4,5,1,1
2020-10-19,13,9,1,3,6,7,1,4
2020-10-20,2,8,0,0,3,4,3,0
2020-10-21,0,0,0,0,0,0,0,0
2020-10-22,22,27,2,4,16,18,7,2
2020-10-23,16,19,1,3,11,15,4,1
2020-10-24,12,10,0,3,7,6,4,3
2020-10-25,17,11,3,3,8,6,6,2
2020-10-26,10,12,0,3,7,7,3,2
2020-10-27,10,10,1,0,6,5,5,3
2020-10-28,9,11,1,3,5,4,4,3
2020-10-29,14,11,2,3,7,5,7,1
2020-10-30,14,15,3,4,8,7,4,3
2020-10-31,10,11,0,3,6,5,4,3
2020-11-01,14,11,1,3,7,8,4,2
2020-11-02,0,0,0,0,0,0,0,0
2020-11-03,15,16,1,4,8,8,6,4
2020-11-04,10,11,2,1,4,7,4,3
2020-11-05,16,11,2,3,5,8,5,3
2020-11-06,18,17,2,3,10,10,6,4
2020-11-07,11,13,1,3,4,8,5,4
2020-11-08,13,18,1,3,7,9,6,4
2020-11-09,20,18,3,2,8,12,8,5
2020-11-10,8,12,0,2,5,5,5,3
2020-11-11,16,19,2,2,9,11,5,5
2020-11-12,14,15,2,5,5,5,7,5
2020-11-13,16,14,5,2,6,10,4,3
2020-11-14,12,11,0,2,6,7,5,3
2020-11-15,15,14,1,2,9,7,6,4
2020-11-16,5,3,0,1,5,2,1,0
2020-11-17,7,9,0,1,4,6,1,4
2020-11-18,13,8,0,4,6,5,3,3
2020-11-19,17,18,3,4,10,8,5,4
2020-11-20,12,10,0,3,5,6,5,3
2020-11-21,10,12,1,2,6,5,6,2
2020-11-22,13,15,2,2,9,8,6,1
2020-11-23,9,9,1,4,5,5,2,1
2020-11-24,0,0,0,0,0,0,0,0
2020-11-25,15,15,3,3,8,10,3,3
2020-11-26,10,12,2,2,5,5,4,4
2020-11-27,8,9,2,3,3,4,3,2
2020-11-28,10,13,2,4,5,4,4,4
2020-11-29,0,0,0,0,0,0,0,0
2020-11-30,14,17,1,8,7,8,5,3
2020-12-01,4,4,0,0,3,3,2,0
2020-12-02,12,11,1,2,7,5,6,2
2020-12-03,17,25,3,7,14,10,5,4
2020-12-04,15,14,1,3,6,8,8,4
2020-12-05,17,21,3,4,8,11,10,2
2020-12-06,14,20,2,3,9,10,7,4
2020-12-07,10,8,1,3,4,4,4,2
2020-12-08,4,4,0,1,2,2,2,1
2020-12-09,15,18,0,3,11,11,4,4
2020-12-10,12,11,3,4,4,4,5,3
2020-12-11,14,18,1,4,9,10,4,4
2020-12-12,12,14,0,3,9,8,4,2
2020-12-13,20,23,2,7,8,13,8,5
2020-12-14,8,10,0,3,3,4,4,4
2020-12-15,14,12,3,3,5,9,4,3
2020-12-16,14,9,1,3,6,6,5,3
2020-12-17,5,2,1,0,2,3,1,0
2020-12-18,47,39,5,5,25,29,18,5
2020-12-19,19,17,1,4,8,11,8,5
2020-12-20,14,14,4,3,7,7,4,3
2020-12-21,16,10,2,2,6,8,5,3
2020-12-22,9,9,3,2,5,5,1,3
2020-12-23,17,16,1,3,8,12,6,3
2020-12-24,16,15,2,4,7,11,4,4
2020-12-25,13,18,2,4,10,7,6,4
2020-12-26,12,13,2,5,5,6,5,3
2020-12-27,6,6,0,1,4,3,4,0
2020-12-28,7,8,0,0,3,4,5,3
2020-12-29,11,12,1,3,5,9,4,1
2020-12-30,12,14,3,2,6,8,5,2
2020-12-31,18,23,2,5,12,11,7,4
